distance,codcp,etp,ghm,humidity,pop,pp,runnof,soil,tmmx,tmmn,group
Proximate,1601130022,0.41864361498021785,0.6505755255874932,0.6350919264587762,0.9343143185965141,0.793632665187821,0.7975599858786092,0.40222651355168515,0.3214589651295209,0.1483562272963426,1
Proximate,1601130004,0.4278322384507531,0.5872080256211044,0.8509192645882615,0.2616002784840593,0.8839384649374513,0.8987755885128973,0,1,0.3289901844057451,1
Proximate,1601130070,0.35740137504630515,0.7282748410190263,0.6830535571542667,0.9487659859145404,0.8462113154686938,0.8443785704130181,0.34180017752574976,0.4144133570354825,0.15009337117350563,1
Proximate,1601130005,0.5776771139212659,0.47337035589982474,1,0.10729099957939799,0.906601856426401,0.9205214394438521,0.08398669623181529,0.8967418136480528,0.2716540240093827,1
Proximate,1601130024,0.6192253963407159,0.4503391471881277,0.16426858513184409,0.5681683801447781,0.7657095784855686,0.7772245150373952,0.5494731159666069,0.15792619786541878,0,1
Proximate,1601130018,0.0999405645438751,0.8933624603235066,0.6450839328537256,0.6781270440581023,0.9580339333528304,0.9606912891524677,0.039718201587772596,0.8853851678083718,0.22427960405414893,1
Proximate,1601130097,0.04722396372162056,0.9527638387493538,0.7202238209431941,0.8781530385284783,1,1,0.12071479596612979,0.7223465595445998,0.15210904810987738,1
Proximate,1601130017,0,1,0.8449240607513806,1,0.9342753067549976,0.9555523960556006,0.08852749242093261,0.7461219936352083,0.09468524958580067,1
Proximate,1601130069,0.202443570230455,0.8505348662213148,0.6946442845723325,0.9300524922251969,0.9251546564094443,0.9207804621822085,0.23474617412483462,0.5708105668421579,0.16176833164645504,1
Proximate,1601130093,0.47100402088020393,0.5606368446376284,0.41167066346918274,0.7758780216538987,0.828800116763162,0.8273299776395069,0.45424441258828685,0.2623665822471213,0.04269637851244163,1
Proximate,1601130098,0.39767701124443633,0.6490391882141616,0.8141486810551408,0.5760829559983888,0.9558595980122634,0.9461178533587852,0.19554047504015362,0.7170148587437696,0.13830734455853175,1
Proximate,1601130063,1,0.19477995664358969,0.35931254996003886,0.3485414251885648,0.26319678296516047,0.29849320979271127,0.742341134367753,0.007829193485368905,0.5955458262496506,2
Proximate,1601120049,0.964983584750102,0,0,0,0,0,1,0,1,2
Proximate,1601120076,0.7668962554553499,0.31237189549646593,0.6470823341326488,0.7000250101555611,0.35011662489530193,0.40684227370645976,0.6184794451336274,0.059500907805164364,0.46841748721529824,2
Moderate,1601130027,0.08145506619448487,0.9468045529844132,0.5760986892829666,0,1,1,0,0.539789949910287,0,1
Moderate,1601130025,0.4045427374339125,0.9528786465831762,1,1,0.7680885180212494,0.7469171895539903,0.44180314573012136,0,0.4465106190575841,1
Moderate,1601130065,0.4217611449005432,0.026688643063171317,0.8610639938319042,0.3068638848988214,0.5797385010795381,0.58831276918713,0.8172076384167533,0.10653881627238984,0.7729511873310141,1
Moderate,1601130028,0,0.8815927104203818,0,0.27549986688939543,0.8343074171729427,0.8665011285317051,0.46083258526844023,0.29013178394581535,0.11018931365265873,1
Moderate,1601130034,0.06237936255355824,0.8492303534518567,0.6208172706245262,0.45642403480184085,0.8510672686477037,0.8419070631223714,0.4750511984889713,0.09469485541403128,0.16177561772213087,1
Moderate,1601130036,0.2792270638970775,0.6336892820024324,0.7736314572089386,0.5167938774972867,0.7361537520702449,0.7339127687007081,0.6330121075552312,0.09501061460680514,0.420177462204987,1
Moderate,1601130026,0.008351885908253691,1,0.3814957594448884,0.326392819633668,0.9131829280635962,0.9159746393464272,0.32868397372271196,0.21632404800163632,0.04743510403056139,1
Moderate,1601130012,0.46432856542875284,0.15611972020132403,0.8865073245952083,0.38052770309606493,0.6040306440967631,0.6156021185149458,0.8030496569668373,0.19750204307124028,0.6703289828896796,1
Moderate,1601130013,0.5180613851117465,0.38794623568016984,0.6851195065536023,0.3237609158009602,0.5776112394851539,0.595007179975815,0.814323701813925,0.40119910463801184,0.6776624857711703,1
Moderate,1601130031,0.5145590850937335,0.9194486104322264,0.17733230531997632,0.24618838514895222,0.327755906512605,0.30889818286052606,0.8297548338845878,0.7280345134681514,0.6218587399800486,2
Moderate,1601130032,0.5821498456178626,0.734404793879529,0.3691595990747912,0.3239635949809989,0,0,0.9828917645315897,1,0.9905716550775406,2
Moderate,1601130029,0.7730565211920518,0.8855831613646938,0.43577486507323915,0.27156108021449826,0.23991826457545484,0.22164677231473856,0.9422279599029425,0.8159278664510077,0.8558551506470188,2
Moderate,1601130064,0.4336369529358128,0,0.9710100231302801,0.326147428039822,0.5918570283335728,0.5955328145392295,0.7512479780424806,0.048248993029890636,0.846198521655949,1
Moderate,1601130020,1,0.5460311528766443,0.8513492675404826,0.24593129152392634,0.36511610022689,0.3682990440006369,1,0.6629062538527017,1,2
Distant,1601130030,0,1,0,0.27643431873765584,1,1,0,0,0,1
Distant,1601130033,0.47210356589350927,0.5752551441688409,0.33109195946586417,0.7607826767284152,0.5887923082802942,0.5903449037891467,0.5369347797347763,0.4727863581684501,0.6554761910544371,1
Distant,1601130039,0.27912527618410776,0.5287165961275022,0.17416422009661414,0.5899374419957427,0.5949250399451453,0.6026557795478084,0.34200978004156735,0.41956615050052476,0.4217236000095841,1
Distant,1601130037,0.4352838667638613,0.4334030074691301,0.4342267260157223,0.6061905964096368,0.4212295267070118,0.4239270256116661,0.627079421733332,0.630087496530979,0.7372849930996743,2
Distant,1601130040,0.8698028393576595,0,1,0.0436738356565983,0.3024497676289905,0.3023929865660381,0.925246425084809,0.6082481259431128,0.9959383293111459,2
Distant,1601130045,0.41630618539081715,0.38590978221721034,0.4792120465953283,0.6435868493569404,0.352359227941288,0.35246723260609397,0.6778329611444104,0.6876547262538899,0.7652557772996369,2
Distant,1601130044,0.5880197281162917,0.29815497226403165,0.5657732739842777,0.345136712396369,0.2094303362504488,0.20654722801954897,0.8279591117133194,0.7906258312902918,0.8602409373490453,2
Distant,1601130046,0.32160300416165005,0.28929707761824547,0.43470025570604753,0.11684231162163387,0,0,0.8895696658546475,1,0.8306615136487788,2
Distant,1601130074,0.6859946343475988,0.8647220819827088,0.43309025475899443,1,0.7386545164818333,0.7277151662052236,0.5354818798640034,0.32730445763842636,0.6274399298314807,1
Distant,1601130082,0.3681187172110558,0.29835471527184687,0.5728762193389717,0.12234251676789475,0.01863091615371298,0.020011070660322795,0.9261623955155326,0.9803903771863978,0.9029975762072684,2
Distant,1601130088,0.27906410959022415,0.26973327230948535,0.2592101524765754,0.15834577482617912,0.19153372528022208,0.18539990119992567,0.667704375550642,0.8104224216694077,0.6464483143666675,2
Distant,1601130099,0.34028612043402695,0.7602045871689496,0.2808978122928387,0.8153612234644471,0.7006508678015915,0.697579520921823,0.39336259852337035,0.3547193747101372,0.4907620015930665,1
Distant,1601130043,0.803734015510976,0.052422316484145255,0.924708779240475,0,0.1534100774663394,0.1597823686590257,1,0.7440749879091131,1,2
Distant,1601130077,1,0.044671658669082306,0.9871199924235226,0.12459073410223605,0.44480664936125813,0.4513950124674595,0.8550529358915933,0.49288835331744396,0.952286345735913,2
Extra distant,1601130056,0.6023583362588464,0.8592711132136138,0.634341637010667,0.3674278035872342,0.6343281455259399,0.6558617929918887,0.4581342538580868,0.34330105211927664,0.6207963543292236,1
Extra distant,1601130055,0.4137996046548366,0.8825842551288547,0.5956001294079578,0.34503199448097654,0.6767524606601383,0.6981456191568625,0.4760535715660401,0.3122438327136923,0.6003745552156668,1
Extra distant,1601130049,0.29029834394844123,0.9137288091744685,0.5466677450663279,0.34183527619466925,0.7396765568433286,0.7587002427805282,0.48775807696103257,0.2644316455391244,0.5684825269991791,1
Extra distant,1601130078,0.29572357132607074,0.8224756723594397,0.15351019087673098,0.1301338197202009,1,1,0,0,0,2
Extra distant,1601130079,0.8346511400515506,0.9011926364768625,0.2753963118731753,0.19813494920694616,0.888744455488787,0.8973445411116625,0.33078346451116714,0.11719997241572361,0.22132367813222184,2
Extra distant,1601130084,0.8828412419299289,0.42685446287008877,0.6397605952766214,0.03138540546761562,0.4783482181841617,0.5049572935639642,0.6314589612452145,0.472455776821658,0.6089902241088547,1
Extra distant,1601130086,0.959145434273026,0.2904053190034629,0.2430443222258245,0.23619725485802684,0.36180054491409114,0.38707748499407,0.7049635415851486,0.4658097452151909,0.4455177976153257,1
Extra distant,1601130089,1,1,0.6161436428340406,0.2315672764191689,0.9468222115314141,0.9528031777540256,0.39429335349052486,0.06338769474143412,0.36826313752417245,2
Extra distant,1601130090,0.49537787521369836,0.6076939281609307,0.6869945001617609,0.09320405820307216,0.8367756349950496,0.8571077682635951,0.6510066405154966,0.0894161498256269,0.4631635932330193,1
Extra distant,1603010099,0.03384967689491558,0,0,0.21040053757629,0.2656683978949075,0.29430519593411,1,0.4724801264073045,0.2709354641363214,1
Extra distant,1601130054,0.36621849713923793,0.8470712588283557,0.6691200258815949,0.3620299838111267,0.6724275057074645,0.6949566370095636,0.5205381173964772,0.2716787516496333,0.6035242649353881,1
Extra distant,1601130057,0.2513279211136758,0.38067537152086145,0.6353930766742141,0,0.506979474472024,0.5332296853343916,0.6664959343447109,0.45860106699220765,0.5826346713277875,1
Extra distant,1601130083,0,0.7367218943221343,0.6790682626981533,0.33007699596708595,0.6746428298162568,0.6985881799543607,0.5709007632324633,0.20760770993219624,0.540878007366262,1
Extra distant,1603010024,0.11803782883259792,0.42539461964616365,1,1,0,0,0.7841931169136839,1,1,1
